order_execution_datetime,trader,direction,ticker,expiration,contract_details,contract_price,timeframe,comment,success
12/01/2022 11:50 AM,MariaC82,IN,TQQQ,12/9,23C,1.43,SWING,STOP AT YOUR OWN RISK. NO ALERT. FOLLOWING FLOW. RISKY AF ,0
12/02/2022 9:53 AM,MariaC82,IN,SBUX,6/15,105C,9.6,SWING,STOP AT YOUR OWN RISK. LARGE & STEADY BULLISH ,0
12/05/2022 7:45 AM,MariaC82,IN,PYPL,12/9,76C,1.13,SWING,STOP AT YOUR OWN RISK. RAPIDFIRE BULLISH. RISKY AF. 100% RISK. DONT TAKE UNLESS WILLING TO LOSE ALL ,0
12/06/2022 8:21 AM,MariaC82,IN,VFC,1/24,37.5C,2.35,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH/ALPHA GOLD. I PLAN ON HOLDING FOR A LONG TIME Thread everyone MariaC82 IN VFC 124 37 5C 2 35 4 Messages › There are no recent messages in this thread. MariaC82 — 12/06/2022 8:23 AM,0
12/21/2022 6:54 AM,MariaC82,IN,WBD,1/6,9.5C,0.37,SWING,STOP AT YOUR OWN RISK CORRECTION TO PREVIOUS POST: THE TICKER IS WBD NOT WBC. SWIFT & RAPIDFIRE BULLISH. 100% RISK. DONT TAKE UNLESS WILLING TO LOSE ALL Rafi from Money land started a thread: everyone MariaC82 IN VFC 124 37 5C 2 35 . See all threads . — 12/21/2022 6:55 AM ,1
12/28/2022 8:46 AM,MariaC82,IN,HOG,1/20,41C,1.4,SWING,STOP AT YOUR OWN RISK. WE ALERTED THE 1.6.2023 41Cs. FOLLOW UP FLOW INTO THE JAN 41Cs. I LIKE THE EXTRA TIME WITH THE JAN EXPWHICH IS WHY I TOOK THE JAN EXP. SMALL POSITION. 100% RISK ,0
12/28/2022 10:12 AM,MariaC82,IN,FIS,4/21,75C,2.8,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH & ALPHA GOLD ,0
01/04/2023 11:05 AM,MariaC82,IN,M,3/17,24C,1.37,SWING,STOP AT YOUR OWN RISK. SWIFT BULLISH ,0
01/06/2023 7:24 AM,MariaC82,IN,MRVL,3/17,37.5C,2.43,SWING,STOP AT YOUR OWN RISK RAPIDFIRE BULLISH ,1
01/12/2023 6:58 AM,MariaC82,IN,LYFT,1/27,14.5C,0.53,SWING,STOP AT YOUR OWN RISK. RISKY AF. DONT TAKE UNLESS WILLING TO LOSE ALL. SWIFT & RAPIDFIRE BULLISH ,1
01/23/2023 12:38 PM,MariaC82,IN,ADI,1/27,172.5C,1.3,SWING,STOP AT YOUR OWN RISK ROULETTE BULLISH. COBRA. 100% RISK. DONT TAKE UNLESS WILLING TO LOSE ALL ,0
01/24/2023 9:16 AM,MariaC82,IN,PANW,3/17,170C,2.67,SWING,STOP AT YOUR OWN RISK. RAPIDFIRE BULLISH. COBRA. 100% RISK. DONT TAKE UNLESS WILLING TO LOSE ALL Thread everyone MariaC82 IN PANW 3 17 170C 2 3 Messages › There are no recent messages in this thread. ,1
01/26/2023 6:41 AM,MariaC82,IN,CRM,2/10,170C,1.24,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH. 100% RISK. DONT TAKE UNLESS WILLING TO LOSE ALL ,1
01/27/2023 6:53 AM,MariaC82,IN,FTCH,2/10,7C,0.37,SWING,STOP AT YOUR OWN RISK. RAPIDFIRE & STEADY BULLISH. COBRA. 100%RISK ,1
01/27/2023 7:10 AM,MariaC82,IN,EBAY,7/21,50C,4.21,SWING,STOP AT YOUR OWN RISK. STEADY BULLISH ,0
01/30/2023 7:07 AM,MariaC82,IN,SHOP,2/3,45.5C,4.01,SWING,POSSIBLE SCALP STOP AT YOUR OWN RISK. ROULETTE AND LARGE BULLISHRISKY AF. COBRADONT TAKE UNLESS WILLING TO LOSE ALL ,1
02/01/2023 6:51 AM,MariaC82,IN,SNAP,1/19/2024,13C,1.71,SWING,STOP AT YOUR OWN RISK. REPEATER BULLISH. RISKY AF. YESTHIS BREAKS THE 3 DAY RULEBUT IM OK WITH IT B/C OF THE TIME BOUGHT ON THE CONTRACTS ,0
02/02/2023 6:36 AM,MariaC82,IN,AI,3/3,22C,3.8,SWING,STOP AT YOUR OWN RISK. STEADY BULLISH Thread AI 3/3 22c 7 Messages › There are no recent messages in this thread. ,1
02/02/2023 10:13 AM,MariaC82,IN,GM,4/21,50C,0.35,SWING,STOP AT YOUR OWN RISK. STEADY BULLISH. COBRA. 100% RISK. DONT TAKE UNLESS WILLING TO LOSE ALL ,0
02/03/2023 6:53 AM,MariaC82,IN,SNOW,7/21,235C,9.45,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH. DONT TAKE UNLESS WILLING TO LOSE ALL ,0
02/03/2023 8:19 AM,MariaC82,IN,YEXT,2/17,10C,0.35,SWING,STOP AT YOUR OWN RISK. STEADY BULLISH. COBRA. DONT TAKE UNLESS WILLING TO LOSE ALL. 100% RISK ,0
02/06/2023 6:34 AM,MariaC82,IN,MSFT,8/18,265C,19.47,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH & ALPHA GOLD. HIGH RISK. PLAY ACCORDINGLY ,1
02/06/2023 7:14 AM,MariaC82,IN,BBAI,6/16,10C,0.85,SWING,STOP AT YOUR OWN RISK. STEADY BULLISH. RISKY AF. DONT TAKE UNLESS WILLING TO LOSE ALL ,0
02/07/2023 12:28 PM,MariaC82,IN,ZI,3/17,30C,2.3,SWING,STOP AT YOUR OWN RISK. SWIFT BULLISH ,0
02/09/2023 8:00 AM,MariaC82,IN,NVDA,3/17,270C,4.5,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH. SUPER RISKY AF. DONT TAKE UNLESS WILLING TO LOSE ALL. 100% RISK Thread NVDA 10 Messages › There are no recent messages in this thread. ,0
02/09/2023 12:07 PM,MariaC82,IN,CRM,3/17,190C,4.0,SWING,STOP AT YOUR OWN RISK. SWIFT BULLISH. RISKY.. ER RUN UP PLAY YouCanCallmeAL97 started a thread: NVDA . See all threads . — 02/10/2023 2:06 AM ,1
02/16/2023 6:55 AM,MariaC82,IN,DDD,3/17,12C,0.87,SWING,STOP AT YOUR OWN RISK. SWIFT BULLISH. RISKY AF. DONT TAKE UNLESS WILLING TO LOSE ALL ,0
02/27/2023 6:54 AM,MariaC82,IN,UPST,3/17,21C,0.59,SWING,STOP AT YOUR OWN RISK. SWIFT BULLISH. RISKY AF. DONT TAKE UNLESS WILLING TO LOSE ALL. 100% RISK ,0
02/27/2023 10:44 AM,MariaC82,IN,CUBE,4/21,50C,1.3,SWING,STOP AT YOUR OWN RISK. STEADY BULLISH ,0
03/07/2023 11:45 AM,MariaC82,IN,WW,1/17/2025,7.5C,3.0,SWING,STOP AT YOUR OWN RISK. NO FLOW. NO ALERT. FOLLOWING BASED ON NEWS. STARTER POSITION.. MIGHT BE LOOKING TO ADD THE JAN 2025 10Cs AT SOME POINT MariaC82 — 03/07/2023 11:47 AM,0
03/09/2023 11:15 AM,MariaC82,IN,AAPL,7/21,180C,1.96,SWING,STOP AT YOUR OWN RISK. SUPER RISKY AF. I LIKE THE FLOWBUT NOT NECESSARILY HOW FAR OTM THESE ARE. ONLY RISK WHAT YOURE WILLING TO LOSE ,0
03/10/2023 11:46 AM,MariaC82,IN,NUE,3/31,165C,3.78,SWING,STOP AT YOUR OWN RISK. SWIFT BULLISH: THIS IS A STARTER POSITION. MAY LOOK TO ADD LOWER IF WE GET AN OPPORTUNITY TO ,0
03/14/2023 12:40 PM,MariaC82,IN,AMZN,12/19/2025,110C,20.95,SWING,STOP AT YOUR OWN RISK. CALL ME CRAZYBUT I LIKE IT.. LARGE BULLISH/ALPHA GOLD. YESI WILL PROBABLY HOLD UNTIL CLOSE TO EXPIRATION. IF YOURE NOT WILLING TO DO THE SAMETHEN THIS IS NOT THE TRADE FOR YOU ,0
