11/27/2023 8:26 AM,mariac82,OUT,AMZN,12/1,142C,6.70,SWING,OUT OF ALL: 6.70 FROM: 3.50
11/28/2023 7:28 AM,mariac82,IN,W,3/15,60C,6.25,SWING,STOP AT YOUR OWN RISK. NO ALERT. JUST FOLLOWING FLOW. TRADE ACCORDINGLY
11/29/2023 11:10 AM,mariac82,IN,VFC,6/21,20C,1.60,SWING,STOP AT YOUR OWN RISK NO ALERT. JUST FOLLOWING FLOW
11/29/2023 12:32 PM,mariac82,IN,MRK,4/19,110C,1.82,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH/ALPHA GOLD. SMALL POSITION
11/30/2023 7:16 AM,mariac82,OUT,ELF,12/1,115C,6.45,SWING,OUT OF ALL: $6.45 FROM: $5.10
11/30/2023 9:40 AM,mariac82,IN,GOOG,12/1,134C,0.40,SWING,POSSIBLE SCALP STOP AT YOUR OWN RISK. COBRA. NO ALERT. JUST FOLLOWING FLOW. THIS WILL EITHER WORK OR IT WONT. TRADE ACCORDINGLY
11/30/2023 9:55 AM,mariac82,IN,SHOP,1/19,72C,5.00,SWING,STOP AT YOUR OWN RISK. REPEATER BULLISH
12/01/2023 7:23 AM,mariac82,IN,GTLB,1/17/2025,65C,9.40,SWING,STOP AT YOUR OWN RISK. NO ALERT. JUST FOLLOWING FLOW
12/01/2023 8:32 AM,mariac82,IN,CRM,12/8,260C,3.55,SWING,STOP AT YOUR OWN RISK. NO ALERT. FOLLOWING FLOW
12/01/2023 8:32 AM,mariac82,IN,ASO,12/8,55C,1.20,SWING,STOP AT YOUR OWN RISK. STEADY BULLISH
12/04/2023 7:08 AM,mariac82,IN,DDOG,3/15,140C,3.60,SWING,STOP AT YOUR OWN RISK. SWIFT/RAPIDFIRE BULLISH ON THE MARCH 160CS. THOSE ARE A LITTLE TOO FAR OTM FOR ME SO IM GOING WITH THE 140CS INSTEAD
12/04/2023 9:11 AM,mariac82,IN,SPOT,12/15,210C,1.20,SWING,STOP AT YOUR OWN RISK. STEADY BULLISH
12/04/2023 10:38 AM,mariac82,IN,LYFT,12/8,13C,0.40,SWING,STOP AT YOUR OWN RISK. ROULETTE BULLISH. COBRA. PLEASE TRADE ACCORDINGLY
12/04/2023 12:26 PM,mariac82,IN,TGT,1/19,140C,2.11,SWING,STOP AT YOUR OWN RISK. REPEATER BULLISH
12/05/2023 6:35 AM,mariac82,OUT,GTLB,1/17/2025,65C,12.45,SWING,OUT OF A LIL BIT: $12.45 FROM: 9.40
12/05/2023 6:35 AM,mariac82,OUT,GTLB,1/17/2025,65C,13.00,SWING,OUT OF ONE MORE: $13 FROM: 9.40
12/05/2023 6:58 AM,mariac82,IN,M,12/15,17.5C,0.37,SWING,AT YOUR OWN RISK. STEADY BULLISH. COBRA. TRADE ACCORDINGLY
12/06/2023 6:38 AM,mariac82,IN,SHOP,12/8,73C,1.64,SWING,POSSIBLE SCALP STOP AT YOUR OWN RISK. NO ALERT. JUST FOLLOWING FLOW. COBRA. TRADE ACCORDINGLY
12/06/2023 7:01 AM,mariac82,OUT,SHOP,12/8,73C,0.90,SCALP,OUT OF ALL. TAKING A LOSS HERE. MAY REPOSITION LATER
12/06/2023 7:01 AM,mariac82,IN,DAL,4/19,45C,1.31,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH/ALPHA GOLD
12/06/2023 7:22 AM,mariac82,IN,VEEN,6/21,200C,13.50,SWING,STOP AT YOUR OWN RISK. NO ALERT. JUST FOLLOWING FLOW. VEEV REPORTS TONIGHT. HOWEVER, THE BUYER INTENDS ON HOLDING FOR LONGER THAN JUST A PLAY ON TODAY'S ER. ALSO, THIS ONE IS THINLY TRADED. EXPECT THE CONTRACTS TO MOVE WEIRD
12/06/2023 7:22 AM,mariac82,IN,VEEV,6/21,200C,13.50,SWING,STOP AT YOUR OWN RISK. CORRECTING TICKER: VEEV NOT VEEN. NO ALERT. JUST FOLLOWING FLOW. VEEV REPORTS TONIGHT. HOWEVER, THE BUYER INTENDS ON HOLDING FOR LONGER THAN JUST A PLAY ON TODAY'S ER. ALSO, THIS ONE IS THINLY TRADED. EXPECT THE CONTRACTS TO MOVE WEIRD
12/07/2023 8:11 AM,mariac82,IN,MRVL,3/15,52.5C,4.70,SWING,STOP AT YOUR OWN RISK. STEADY BULLISH
12/07/2023 11:03 AM,mariac82,IN,HSY,1/5,190C,5.70,SWING,STOP AT YOUR OWN RISK. RAPIDFIRE & SWIFT BULLISH
12/08/2023 7:04 AM,mariac82,OUT,ASO,12/8,55C,0.98,SWING,OUT OF ALL. SMALL LOSS HERE. TAKING WHATEVER I CAN GET AS THESE EXPIRE TODAY
