DATE,CPIAUCSL
2018-11-01,252.594
2018-12-01,252.767
2019-01-01,252.718
2019-02-01,253.322
2019-03-01,254.202
2019-04-01,255.211
2019-05-01,255.290
2019-06-01,255.159
2019-07-01,255.685
2019-08-01,256.059
2019-09-01,256.511
2019-10-01,257.244
2019-11-01,257.803
2019-12-01,258.616
2020-01-01,259.037
2020-02-01,259.248
2020-03-01,258.124
2020-04-01,256.092
2020-05-01,255.868
2020-06-01,256.986
2020-07-01,258.278
2020-08-01,259.411
2020-09-01,260.029
2020-10-01,260.286
2020-11-01,260.813
2020-12-01,262.035
2021-01-01,262.650
2021-02-01,263.638
2021-03-01,264.914
2021-04-01,266.670
2021-05-01,268.444
2021-06-01,270.559
2021-07-01,271.764
2021-08-01,272.870
2021-09-01,274.028
2021-10-01,276.522
2021-11-01,278.711
2021-12-01,280.887
2022-01-01,282.599
2022-02-01,284.610
2022-03-01,287.472
2022-04-01,288.611
2022-05-01,291.268
2022-06-01,294.728
2022-07-01,294.628
2022-08-01,295.320
2022-09-01,296.539
2022-10-01,297.987
2022-11-01,298.598
2022-12-01,298.990
2023-01-01,300.536
2023-02-01,301.648
2023-03-01,301.808
2023-04-01,302.918
2023-05-01,303.294
2023-06-01,303.841
2023-07-01,304.348
2023-08-01,306.269
2023-09-01,307.481
2023-10-01,307.619
2023-11-01,307.917
