Date,UGA_Open,UGA_Adj Close,UGA_Volume,UGA_High,UGA_Low,UGA_MA_5,UGA_MA_20,UGA_MA_250,UGA_realVolatility20,UGA_realVolatility60,UGA_realVolatility250,UGA_avgVolume_20,UGA_avgVolume_60,UGA_avgVolume_250,UGA_log1DayRet,UGA_logMA5_20,UGA_logMA20_250,UGA_logMA5_250,UGA_log1DayRange,UGA_HL_20_realVol_20,UGA_HL_5_realVol_20,UGA_logD2,UGA_logD5
2019-11-18,-0.2920490235002884,0.2519906932039113,-262003.8623975352,-0.6835002961383925,0.1347901882475497,,,,,,,,,,,,,,-0.2005378900316978,,,,
2019-11-19,0.5075751626470861,0.2098404824000415,720966.8154794216,0.3524235598217622,0.4172564865610759,,,,,,,,,,-0.883297169237198,,,,-2.735941675984465,,,,
2019-11-20,-0.1872015339878103,-0.0164840415452669,-359083.31976141,-0.2390248825300087,-0.0421143129641663,,,,,,,,,,-2.4297930245769233,,,,-1.625005614910617,,,-1.3149984672291142,
2019-11-21,0.3197028471959235,-0.3390445962579349,1004811.9290370898,0.4611349637722952,-0.0543055958324103,,,,,,,,,,,,,,-0.6627332884688351,,,-0.5998661878767193,
2019-11-22,-0.3677619687137756,0.0895312824453125,312824.1514790582,-0.4443040998783978,0.1135514549999499,0.039166764049212696,,,,,,,,,,,,,-0.5836552123366184,,1.0246737317506136,-2.2441716293698577,
2019-11-25,-0.6044589071722815,-0.6797576063202442,19021.638487963355,-0.3052429940047449,-0.6234163713436649,-0.14718289585561842,,,,,,,,,0.11740258379436609,,,,-1.1451588330182803,,0.8800626317030827,-1.0767147687739402,-0.07069256565888003
2019-11-26,-2.1972295813786573,-2.0733880540471707,546841.8583797083,-2.2457407293266325,-2.087280532229901,-0.6038286031450608,,,,,,,,,-0.05801327524995838,,,,-1.8422518396194127,,0.5613986887313137,0.7714588538541289,0.8255904661062737
2019-11-27,-0.2842796952368225,0.1851375568823083,-43794.58242323506,-0.2364785314831401,-0.1057940937247661,-0.5635042834595458,,,,,,,,,,,,,-2.034969733854526,,0.664597341823767,-0.14514697800516868,-1.6013626134660572
2019-11-29,0.8580408288131727,-0.4135653489675386,1477344.922445519,0.7099333748118433,-0.192611537104038,-0.5784084340014666,,,,,,,,,,,,,-0.10253682611756934,,0.8185337114136698,0.5067107924955842,-2.5966776325267658
2019-12-02,-0.9062152417474554,-0.0373408886404549,-736367.7636969141,-0.8700977992099128,-0.3896562596889126,-0.60378286821862,,,,,,,,,-3.1891879150495432,,,,-0.7330497239029293,,0.7954719883236477,-1.5029250561234333,-2.0645752262956107
2019-12-03,-0.4881578711985259,-0.4401095334997533,-349110.3846568382,-0.4638116778862047,-0.1850694871345632,-0.5558532536545219,,,,,,,,,-0.10361522438643131,,,,-1.2774679718409907,,0.7965726953831046,-3.6289445936212523,-1.4285837950508469
2019-12-04,0.0557238497470322,0.0593589788660731,-310455.45891575795,-0.2747278236314825,-0.0042088702041933,-0.1293038470718731,,,,,,,,,0.06319515885786946,,,,-1.3074131150271917,,0.7207412169656862,-2.3361432466734855,0.7574108356033755
2019-12-05,0.8789395796220898,0.8156967846570815,268823.404117763,1.1337157853600512,1.0241501543342633,-0.0031920015169184302,,,,,,,,,-0.07467345921299724,,,,-2.2112315391775774,,0.7802991363511861,0.22777785086600466,-0.4611481902019298
2019-12-06,1.0267719621339353,0.5984471503269315,1502460.3417515,0.941007820082481,-0.0338760638478561,0.1992104983419756,,,,,,,,,-0.5398369250088824,,,,-0.02543690848125497,,0.8059300127733525,-0.6178761380361261,0.011940921870492041
2019-12-09,0.1060043662552949,0.2921889565162647,-787482.6083090882,-0.1081591373734465,0.4669501107922773,0.2651164673733195,,,,,,,,,1.013920419987656,,,,-0.5531952594219403,,0.8306464506066931,-0.6472032953147386,-1.1100883520345457
2019-12-10,0.3557398854597817,1.4569712364830243,5526.318428180879,1.107815553761391,0.7437716603672442,0.6445326213698751,,,,,,,,,1.4099152594264315,,,,-1.0104808323676775,,0.8229185661063776,-0.15254054294487782,0.6403162677917409
2019-12-11,2.160965831551195,1.849721630735676,-109151.02506940057,1.7722102929357035,2.319359923612197,1.0026051517437957,,,,,,,,,-0.15552010809764524,,,,-0.6030329661128989,,0.8220387050982282,0.44310295009146855,0.5824181981421304
2019-12-12,1.1859894641181512,0.9042364420592168,-283389.80008305627,0.9350640605593769,0.817729308979251,1.0203130832242227,,,,,,,,,-0.2712418188311869,,,,-2.1427243047945828,,0.7944242718676267,-0.592876968580341,-2.4243047210990536
2019-12-13,2.072791776388117,1.4285648017978865,-20460.924350973397,1.9107015910877507,1.8293720184932631,1.1863366135184137,,,,,,,,,-0.37222607767855703,,,,-2.509245582018447,,0.9054625327509971,-0.8647499993746889,-0.186187839476713
2019-12-16,1.0446555572813931,1.628231837796772,-238349.96866191985,1.1750445983371574,1.2807450965061324,1.453545189774515,0.2885113882446068,,0.9146071739176344,,,117948.58406400378,,,0.4438074431242439,1.6170262506779312,,,-2.2471456730709294,0.8445322086456046,0.8409805386365009,-0.3229702460951573,0.28971217136621047
2019-12-17,1.6076896861964585,0.9770471773013708,94284.69119192893,1.3514973213577584,1.1393958642612425,1.3575603779381844,0.3247642124494798,,0.9273641706595837,,,135763.011743477,,,-0.4980185110939595,1.4303451092498403,,,-1.550690547578823,0.8070304373898698,0.7607160093286183,-0.795140871457246,-0.7341273976349506
2019-12-18,0.7432198749422394,0.6218541710343235,-269984.5795943408,0.5464820816881559,0.8527756872216781,1.1119868859979138,0.3453648968811939,,0.9292512269003972,,,86215.44198978887,,,-0.17828631599158118,1.169302151363955,,,-1.183211141843459,0.7379236719764166,0.5437991423044951,0.006357415504027054,0.20527889206060118
2019-12-19,0.2972267623011557,-0.4087331738779536,183046.3530646184,0.276862791111883,-0.2994458391111223,0.8493929628104798,0.3257524402645596,,0.941350801220568,,,113321.92563109027,,,,0.9583842257543912,,,-0.55111194542519,0.7495227662271885,0.7939604371477826,0.326263411426345,0.27229145410634614
2019-12-20,0.209273776477433,1.5293048865612011,-175216.28450109894,0.8489284032805671,1.0009163246997996,0.8695409797631427,0.41916991440551643,,0.9643304792208922,,,54320.51495418084,,,1.9889252585949144,0.7296891015856262,,,-1.8839542256404733,0.752003483156443,0.653366927672752,-0.09711602227722534,-2.29521149725825
2019-12-23,1.619802256343844,1.7143029909478589,17145.104454021843,1.4556418022393895,1.7749332576398515,0.8867552103933601,0.5004084998306437,,1.0027710578027333,,,39536.56260292903,,,0.05670250092622487,0.5721442049467937,,,-1.1416509400314243,0.7351707831468409,0.4990547617778717,0.7528472173503165,-2.452580962582144
2019-12-24,2.331597174969545,2.341532563419332,394350.65161314607,2.38484487285948,2.54777463690595,1.1596522876169524,0.6514730083176226,,1.0424157711246649,,,58303.013259188156,,,0.004252141060012287,0.5766395214621522,,,-1.8144360664579116,0.7428101810674399,0.5486548036296175,-0.20797458790307718,0.310777351045115
